geneID	epidermis	cortex	columella	stelle	endodermis
AT4G18910	0.503845	0.726486	1.8743	0.0409051	0.5057134999999999
AT4G18920	0.0134441	0.0201893	0.07793610000000001	0.0	0.01888185
AT4G18930	41.6144	72.94	15.1556	14.0553	147.589
AT4G18940	2.2765400000000002	0.0272736	0.102239	0.0	0.158545
AT4G18950	244.618	37.3599	414.04699999999997	15.074000000000002	67.8159
AT4G18960	0.0	0.0	0.0	0.0	0.0
AT4G18970	0.0641834	0.0	0.0105354	0.043619099999999994	0.1638597
AT4G18975	2.78017	5.26769	5.15525	5.44568	4.917815
AT4G18980	0.621736	0.0	0.891809	0.0190145	0.0099969
AT4G18990	0.014189799999999999	0.021319799999999996	0.048884500000000004	0.0	0.0066137
AT4G19000	0.25491199999999997	0.138626	0.133684	0.0854962	0.23779750000000002
AT4G19003	22.4936	23.6149	15.0647	24.9199	21.42715
AT4G19006	42.1835	81.8304	37.0828	72.0525	56.1688
AT4G19010	6.08235	7.80116	5.20726	6.6073699999999995	6.113589999999999
AT4G19020	4.81318	16.4258	4.35639	14.2608	8.72186
AT4G19030	495.98699999999997	19.4962	40.8963	2.21055	14.765355
AT4G19035	0.262237	0.09942589999999998	0.0792836	0.132806	0.0
AT4G19038	0.0449967	0.0	0.0	0.08555689999999999	0.0
AT4G19040	9.24145	5.47136	15.130999999999998	8.37439	10.687735
AT4G19045	26.2462	11.1645	5.153580000000001	7.518739999999999	15.41255
AT4G19050	0.0441693	0.0652889	0.08468669999999999	0.17593399999999998	0.0819896
AT4G19060	5.16754	3.5719199999999995	3.58091	5.00678	3.7906000000000004
AT4G19070	3.96634	7.76653	5.239330000000001	7.2126399999999995	4.9037299999999995
AT4G19080	2.68363	1.48688	4.64076	3.13028	2.070285
AT4G19090	1.8586599999999998	1.5544200000000001	4.17011	3.3736900000000003	1.7622550000000001
AT4G19095	0.617267	0.601538	1.02393	1.08487	0.3523735
AT4G19100	1.6601599999999999	0.550153	1.2518200000000002	1.68606	1.640925
AT4G19110	71.5599	80.5058	80.3225	71.9535	66.91625
AT4G19112	17.6069	8.06489	35.6352	10.2006	10.635575
AT4G19120	58.9626	48.1141	39.6941	67.3226	38.52445
AT4G19130	1.58273	2.73473	1.04045	6.36963	2.8369
AT4G19140	14.4063	16.1656	33.7689	10.6518	19.39205
AT4G19150	20.2022	26.9265	17.2709	35.0252	23.73675
AT4G19160	31.3719	53.4802	14.3042	20.9283	44.6543
AT4G19170	0.693218	1.07281	0.826332	1.50345	0.9120105
AT4G19180	12.1237	17.9948	14.2941	17.9487	11.27698
AT4G19185	16.7372	28.4076	14.5583	16.5198	17.218899999999998
AT4G19190	8.853819999999999	10.6684	20.6141	15.0666	10.6882
AT4G19191	3.28674	1.60605	2.6248	3.25627	1.89982
AT4G19200	333.99300000000005	30.7394	300.35900000000004	21.6046	52.88075
AT4G19210	51.3541	91.913	76.2709	141.861	86.1995
AT4G19220	1.35791	0.69315	1.46095	1.42235	0.8406605
AT4G19230	136.72	4.55129	6.949039999999999	7.92847	5.8716565
AT4G19239	0.0	0.0	0.0	0.0	0.0
AT4G19240	0.0134624	0.0	0.0	0.0	0.0063138000000000005
AT4G19250	0.0	0.0	0.0	0.0	0.0
AT4G19260	0.0	0.0	0.0	0.0	0.0
AT4G19270	0.0	0.0	0.0	0.0	0.0
AT4G19280	0.0	0.0	0.0	0.0	0.0
AT4G19290	0.0	0.0	0.0	0.0	0.0
